2024-09-09 00:31:50,805 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Current SDK version is 0.17.9
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Configure stats pid to 21815
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Loading settings from /home/sehwan/.config/wandb/settings
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Loading settings from /home/sehwan/MIIL/diffusion-distillation/wandb/settings
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'distillation.py', 'program_abspath': '/home/sehwan/MIIL/diffusion-distillation/distillation.py', 'program': '/home/sehwan/MIIL/diffusion-distillation/distillation.py'}
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_init.py:_log_setup():524] Logging user logs to /home/sehwan/MIIL/diffusion-distillation/wandb/run-20240909_003150-dkger2nz/logs/debug.log
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_init.py:_log_setup():525] Logging internal logs to /home/sehwan/MIIL/diffusion-distillation/wandb/run-20240909_003150-dkger2nz/logs/debug-internal.log
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_init.py:init():608] calling init triggers
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_init.py:init():615] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'architecture': 'UNet', 'dataset': 'your_dataset_name', 'epochs': 800000}
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_init.py:init():658] starting backend
2024-09-09 00:31:50,806 INFO    MainThread:21815 [wandb_init.py:init():662] setting up manager
2024-09-09 00:31:50,806 INFO    MainThread:21815 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-09 00:31:50,807 INFO    MainThread:21815 [wandb_init.py:init():670] backend started and connected
2024-09-09 00:31:50,808 INFO    MainThread:21815 [wandb_init.py:init():768] updated telemetry
2024-09-09 00:31:50,814 INFO    MainThread:21815 [wandb_init.py:init():801] communicating run to backend with 90.0 second timeout
2024-09-09 00:31:52,964 INFO    MainThread:21815 [wandb_init.py:init():852] starting run threads in backend
2024-09-09 00:31:54,078 INFO    MainThread:21815 [wandb_run.py:_console_start():2465] atexit reg
2024-09-09 00:31:54,078 INFO    MainThread:21815 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-09-09 00:31:54,078 INFO    MainThread:21815 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-09-09 00:31:54,078 INFO    MainThread:21815 [wandb_run.py:_redirect():2401] Redirects installed.
2024-09-09 00:31:54,079 INFO    MainThread:21815 [wandb_init.py:init():895] run started, returning control to user process
2024-09-09 00:33:35,711 WARNING MsgRouterThr:21815 [router.py:message_loop():77] message_loop has been closed
